missingMass,weight,SignalChannel
0.20678827,1.0,2.0
2.5150168,1.0,1.0
2.8095834,1.0,1.0
2.2237387,1.0,1.0
-0.08857587,1.0,1.0
2.294755,1.0,1.0
1.179295,1.0,1.0
0.49716273,1.0,2.0
2.01083,1.0,2.0
-0.25316778,1.0,2.0
1.5969403,1.0,2.0
2.1194553,1.0,2.0
2.635199,1.0,2.0
2.2209332,1.0,1.0
1.1706237,1.0,1.0
-0.30486792,1.0,2.0
2.5900326,1.0,1.0
2.1774344,1.0,1.0
2.596675,1.0,1.0
0.2004121,1.0,2.0
2.2253585,1.0,2.0
0.6701733,1.0,1.0
0.96718043,1.0,2.0
-0.16625679,1.0,1.0
1.4384423,1.0,2.0
1.165656,1.0,1.0
1.5196284,1.0,2.0
2.8567295,1.0,2.0
2.1702034,1.0,1.0
2.3871343,1.0,2.0
2.7413323,1.0,2.0
0.7939089,1.0,2.0
2.2057934,1.0,2.0
2.8542583,1.0,2.0
2.4970605,1.0,1.0
2.5138247,1.0,2.0
1.5239946,1.0,2.0
0.23475857,1.0,2.0
2.3298974,1.0,1.0
1.9118816,1.0,2.0
2.9955604,1.0,1.0
2.0911467,1.0,2.0
0.6941666,1.0,1.0
2.3948777,1.0,1.0
1.9361807,1.0,1.0
0.40155444,1.0,2.0
0.33159778,1.0,1.0
2.936799,1.0,1.0
2.1246111,1.0,2.0
2.5171099,1.0,1.0
1.6066164,1.0,2.0
0.43540213,1.0,1.0
1.152928,1.0,1.0
1.6505746,1.0,2.0
2.7676039,1.0,2.0
1.7768167,1.0,2.0
1.4964479,1.0,2.0
2.7984304,1.0,2.0
1.8230261,1.0,2.0
0.8593807,1.0,2.0
2.1896305,1.0,2.0
1.4277765,1.0,2.0
0.56331664,1.0,1.0
1.0352784,1.0,1.0
1.572254,1.0,1.0
2.8768384,1.0,2.0
1.4919443,1.0,1.0
2.8148386,1.0,1.0
1.2991621,1.0,1.0
2.278225,1.0,2.0
2.52297,1.0,1.0
2.4194129,1.0,2.0
2.0628653,1.0,2.0
1.4138207,1.0,2.0
2.3535817,1.0,1.0
2.7045062,1.0,2.0
2.1619117,1.0,2.0
1.9201509,1.0,1.0
2.3778427,1.0,1.0
2.9142723,1.0,2.0
1.3093405,1.0,2.0
1.764378,1.0,1.0
1.0610864,1.0,1.0
2.3330538,1.0,2.0
2.974813,1.0,2.0
2.870214,1.0,2.0
2.582969,1.0,1.0
2.5308108,1.0,2.0
1.5861303,1.0,1.0
2.7513504,1.0,1.0
2.2660449,1.0,2.0
1.817324,1.0,2.0
0.8147049,1.0,2.0
1.9709476,1.0,2.0
2.9397786,1.0,1.0
2.8629403,1.0,2.0
2.8080888,1.0,2.0
0.28502348,1.0,2.0
1.7684208,1.0,2.0
0.41734767,1.0,2.0
2.20303,1.0,1.0
2.859929,1.0,2.0
0.08884932,1.0,1.0
0.08666754,1.0,2.0
1.7632433,1.0,1.0
2.1193113,1.0,2.0
2.0055563,1.0,1.0
2.7949858,1.0,2.0
0.7400859,1.0,2.0
1.8257886,1.0,2.0
2.8241363,1.0,1.0
0.8544074,1.0,2.0
1.4040431,1.0,2.0
1.7325709,1.0,1.0
1.8832572,1.0,1.0
0.11649371,1.0,2.0
1.8083761,1.0,1.0
1.3130921,1.0,2.0
1.1918162,1.0,1.0
0.29491162,1.0,2.0
2.2020833,1.0,2.0
2.8100584,1.0,2.0
1.0094956,1.0,1.0
1.851926,1.0,2.0
1.3331329,1.0,2.0
1.6097996,1.0,1.0
2.2129006,1.0,1.0
2.7910562,1.0,2.0
1.9750202,1.0,2.0
2.151055,1.0,1.0
2.0820193,1.0,2.0
1.0636718,1.0,2.0
0.87744814,1.0,2.0
2.65284,1.0,2.0
2.854598,1.0,2.0
2.554021,1.0,2.0
1.6199758,1.0,2.0
2.7662446,1.0,2.0
1.802852,1.0,1.0
-0.67398804,1.0,1.0
2.3857877,1.0,1.0
1.7643638,1.0,1.0
2.2141466,1.0,1.0
1.961438,1.0,1.0
2.371046,1.0,1.0
1.2680016,1.0,2.0
0.22535637,1.0,1.0
2.638073,1.0,1.0
0.5269938,1.0,1.0
0.09737868,1.0,1.0
2.6402225,1.0,1.0
2.3587573,1.0,1.0
1.6833898,1.0,2.0
0.07986109,1.0,1.0
1.7297177,1.0,1.0
-0.026325393,1.0,2.0
1.4122208,1.0,1.0
1.8670273,1.0,2.0
1.6422957,1.0,1.0
2.946689,1.0,2.0
2.4011266,1.0,2.0
1.6588522,1.0,2.0
2.4389372,1.0,2.0
2.2190485,1.0,1.0
1.9360254,1.0,2.0
2.3277194,1.0,1.0
2.7902873,1.0,2.0
2.6240811,1.0,1.0
1.8361695,1.0,2.0
2.7932427,1.0,2.0
0.92592406,1.0,2.0
2.4313514,1.0,1.0
0.33016598,1.0,2.0
2.2786715,1.0,2.0
1.5370209,1.0,2.0
2.539135,1.0,2.0
2.629196,1.0,2.0
2.8220592,1.0,2.0
-0.19796202,1.0,2.0
1.8622438,1.0,1.0
-0.1780994,1.0,2.0
1.7673372,1.0,2.0
1.394129,1.0,2.0
2.9581077,1.0,2.0
2.752759,1.0,2.0
0.11021406,1.0,1.0
1.6500989,1.0,1.0
1.9230599,1.0,2.0
2.571122,1.0,2.0
2.4198809,1.0,2.0
2.0865195,1.0,2.0
1.7809378,1.0,1.0
1.7636807,1.0,1.0
2.9984283,1.0,2.0
2.6442168,1.0,2.0
2.956609,1.0,1.0
2.728278,1.0,1.0
2.9935272,1.0,2.0
1.4023057,1.0,1.0
2.6699317,1.0,1.0
-0.5449062,1.0,2.0
1.4683995,1.0,2.0
2.8378556,1.0,1.0
1.7450421,1.0,2.0
2.3494601,1.0,1.0
1.5052865,1.0,1.0
2.683015,1.0,2.0
2.2052402,1.0,2.0
1.4743311,1.0,2.0
2.2043352,1.0,2.0
0.7045514,1.0,1.0
2.3629348,1.0,1.0
2.920518,1.0,2.0
2.488402,1.0,2.0
1.9114671,1.0,1.0
2.9163458,1.0,2.0
2.6834316,1.0,1.0
2.0370111,1.0,2.0
1.03985,1.0,2.0
-0.6118905,1.0,1.0
2.7328138,1.0,1.0
2.7069275,1.0,2.0
0.011182164,1.0,2.0
2.77583,1.0,1.0
2.0950124,1.0,2.0
1.4125915,1.0,1.0
2.2780802,1.0,2.0
2.8090527,1.0,2.0
2.8305547,1.0,2.0
2.7527122,1.0,1.0
-0.5071319,1.0,1.0
2.1419725,1.0,2.0
2.640513,1.0,2.0
2.3289285,1.0,2.0
1.1152847,1.0,2.0
1.1019503,1.0,1.0
1.8756588,1.0,1.0
2.7421708,1.0,1.0
0.6706135,1.0,1.0
2.4983003,1.0,2.0
1.1811332,1.0,2.0
1.7534281,1.0,1.0
0.73244053,1.0,2.0
2.9034832,1.0,2.0
1.8282586,1.0,1.0
0.010721629,1.0,2.0
1.1908712,1.0,1.0
2.176962,1.0,1.0
2.484084,1.0,2.0
2.9586875,1.0,1.0
1.7627228,1.0,2.0
-0.5110263,1.0,2.0
2.2847934,1.0,1.0
0.0814269,1.0,1.0
2.3729758,1.0,2.0
2.9860826,1.0,1.0
-0.15499975,1.0,1.0
2.6503959,1.0,2.0
2.7961571,1.0,1.0
2.7063038,1.0,2.0
2.955884,1.0,2.0
0.8292947,1.0,2.0
1.964545,1.0,2.0
2.84875,1.0,1.0
2.3688588,1.0,1.0
2.8280978,1.0,1.0
1.9369714,1.0,1.0
2.7585924,1.0,2.0
1.0171778,1.0,1.0
2.7575967,1.0,2.0
-0.31390586,1.0,2.0
0.80001813,1.0,2.0
2.544559,1.0,2.0
2.4165628,1.0,2.0
0.36012468,1.0,1.0
2.1330576,1.0,2.0
2.378646,1.0,2.0
2.639569,1.0,2.0
1.6529112,1.0,2.0
2.5763927,1.0,2.0
2.1018436,1.0,1.0
2.2199447,1.0,2.0
2.5708375,1.0,2.0
2.2688863,1.0,2.0
2.7522357,1.0,2.0
-0.1605119,1.0,2.0
0.35830888,1.0,1.0
2.9284353,1.0,2.0
2.4184408,1.0,2.0
1.3441192,1.0,2.0
0.23938958,1.0,1.0
2.995317,1.0,1.0
2.72728,1.0,2.0
2.1236968,1.0,2.0
2.8694143,1.0,1.0
1.4743228,1.0,2.0
2.125314,1.0,1.0
0.4125425,1.0,2.0
1.6547874,1.0,2.0
2.4743824,1.0,2.0
1.7466019,1.0,1.0
1.9694929,1.0,1.0
1.8072172,1.0,1.0
2.4967263,1.0,1.0
1.9478645,1.0,1.0
1.3490233,1.0,2.0
-0.047097508,1.0,1.0
2.1199398,1.0,2.0
0.91046673,1.0,1.0
0.7857431,1.0,1.0
2.5871868,1.0,2.0
-0.13512734,1.0,2.0
2.338646,1.0,2.0
2.3497288,1.0,2.0
2.169082,1.0,1.0
1.594912,1.0,2.0
0.087654315,1.0,2.0
2.6593032,1.0,1.0
2.9649496,1.0,1.0
2.9722047,1.0,2.0
2.588899,1.0,1.0
2.5500119,1.0,2.0
2.726058,1.0,2.0
2.1687357,1.0,2.0
2.25412,1.0,2.0
1.3076073,1.0,2.0
1.1598827,1.0,2.0
2.7878423,1.0,2.0
2.0152054,1.0,1.0
-0.22350347,1.0,1.0
2.2607336,1.0,2.0
2.2058651,1.0,2.0
2.871034,1.0,2.0
1.506434,1.0,2.0
2.9123714,1.0,2.0
2.1041653,1.0,2.0
1.616982,1.0,1.0
1.304121,1.0,2.0
2.6520042,1.0,1.0
1.2908217,1.0,2.0
2.688347,1.0,2.0
1.547015,1.0,2.0
0.7003662,1.0,2.0
2.4128203,1.0,2.0
2.0590575,1.0,1.0
2.4513986,1.0,1.0
2.554083,1.0,2.0
2.0034838,1.0,1.0
2.0647154,1.0,1.0
0.35626408,1.0,1.0
2.0624754,1.0,2.0
2.3547642,1.0,2.0
2.772673,1.0,2.0
1.6911212,1.0,2.0
2.8021903,1.0,1.0
1.1543162,1.0,2.0
1.100222,1.0,2.0
2.027015,1.0,1.0
2.023237,1.0,2.0
-0.11121498,1.0,2.0
1.0145006,1.0,1.0
2.6551988,1.0,2.0
2.821845,1.0,1.0
1.9751756,1.0,2.0
2.2500515,1.0,2.0
2.8117228,1.0,1.0
2.276961,1.0,1.0
2.811789,1.0,1.0
2.92671,1.0,1.0
0.7275246,1.0,2.0
1.843782,1.0,2.0
1.8370378,1.0,1.0
1.995483,1.0,1.0
0.21210337,1.0,1.0
2.634355,1.0,2.0
2.9469075,1.0,1.0
2.11136,1.0,2.0
1.9427055,1.0,2.0
0.25798848,1.0,1.0
-0.17538784,1.0,2.0
-0.059329174,1.0,2.0
2.1101859,1.0,2.0
1.8433956,1.0,1.0
2.7056143,1.0,2.0
2.0318944,1.0,1.0
0.9274978,1.0,1.0
2.7300646,1.0,2.0
2.0365474,1.0,1.0
0.57411754,1.0,1.0
1.9174316,1.0,2.0
2.93537,1.0,1.0
2.073345,1.0,2.0
1.4011356,1.0,1.0
2.1984148,1.0,2.0
2.694316,1.0,1.0
1.1225057,1.0,2.0
1.2157409,1.0,1.0
2.4855905,1.0,1.0
-0.04691382,1.0,1.0
-0.10379938,1.0,1.0
2.2538764,1.0,1.0
1.7141886,1.0,2.0
2.5543704,1.0,1.0
0.38264114,1.0,2.0
-0.12733863,1.0,2.0
1.058447,1.0,1.0
0.33498582,1.0,2.0
1.8944999,1.0,2.0
0.28538716,1.0,1.0
2.1192625,1.0,1.0
0.9379785,1.0,1.0
2.5973475,1.0,2.0
0.952614,1.0,2.0
2.465228,1.0,2.0
-0.08880294,1.0,2.0
2.4641926,1.0,2.0
2.513933,1.0,1.0
1.8550838,1.0,2.0
2.0833976,1.0,2.0
0.0563103,1.0,2.0
2.4433239,1.0,2.0
1.4050679,1.0,2.0
2.9194474,1.0,2.0
-0.105882086,1.0,2.0
1.4369044,1.0,1.0
1.8111712,1.0,1.0
2.229123,1.0,2.0
1.113605,1.0,2.0
1.7943358,1.0,2.0
2.7103846,1.0,2.0
1.1825962,1.0,2.0
1.309598,1.0,2.0
1.0937796,1.0,1.0
0.88152766,1.0,1.0
0.08253841,1.0,1.0
-0.28061065,1.0,2.0
0.031469014,1.0,2.0
1.2088945,1.0,2.0
2.8389304,1.0,2.0
2.3620224,1.0,2.0
2.9808533,1.0,2.0
0.81122637,1.0,1.0
2.614588,1.0,2.0
0.3845206,1.0,1.0
1.6827245,1.0,2.0
2.38783,1.0,2.0
2.300406,1.0,2.0
2.9952528,1.0,2.0
2.8097703,1.0,1.0
2.759695,1.0,2.0
-0.060083184,1.0,2.0
1.9573109,1.0,2.0
2.850547,1.0,1.0
2.9956052,1.0,2.0
2.4942899,1.0,2.0
2.4248931,1.0,1.0
1.9821465,1.0,1.0
2.7267742,1.0,2.0
2.7630744,1.0,2.0
2.6373186,1.0,2.0
-0.6839405,1.0,2.0
2.8461013,1.0,2.0
1.8118414,1.0,2.0
2.2955184,1.0,1.0
1.9962633,1.0,2.0
1.4201825,1.0,1.0
2.8723068,1.0,1.0
2.0123682,1.0,1.0
0.96580064,1.0,1.0
1.8374399,1.0,1.0
0.05606511,1.0,1.0
2.6084883,1.0,2.0
0.1623049,1.0,1.0
2.0042002,1.0,2.0
0.9902088,1.0,1.0
0.39293176,1.0,2.0
2.9141974,1.0,2.0
2.191797,1.0,2.0
2.4009771,1.0,2.0
1.1588941,1.0,2.0
1.6200726,1.0,2.0
1.3983479,1.0,2.0
1.9089959,1.0,2.0
1.8774726,1.0,1.0
2.9022043,1.0,1.0
1.8082528,1.0,2.0
0.8245778,1.0,2.0
-0.33653063,1.0,1.0
2.312356,1.0,1.0
1.8138041,1.0,2.0
1.4064476,1.0,1.0
1.866202,1.0,2.0
2.6307943,1.0,2.0
1.5219061,1.0,1.0
2.1217868,1.0,2.0
2.2029004,1.0,2.0
0.5442458,1.0,2.0
1.8928121,1.0,2.0
2.6805573,1.0,2.0
1.3942794,1.0,2.0
1.717386,1.0,1.0
2.9362645,1.0,2.0
2.9743397,1.0,1.0
2.9709244,1.0,1.0
2.925114,1.0,2.0
2.5610652,1.0,2.0
2.0506768,1.0,2.0
2.983705,1.0,2.0
2.608846,1.0,1.0
2.3463466,1.0,1.0
2.4520698,1.0,2.0
2.185582,1.0,2.0
2.852557,1.0,2.0
2.6082456,1.0,2.0
1.7371204,1.0,1.0
1.7247452,1.0,2.0
2.7461233,1.0,2.0
1.5281941,1.0,2.0
0.8995822,1.0,2.0
1.8025109,1.0,2.0
1.5803386,1.0,1.0
2.6396992,1.0,2.0
2.4609604,1.0,1.0
2.6169188,1.0,1.0
1.8696392,1.0,2.0
2.8835306,1.0,2.0
1.83978,1.0,1.0
1.0366502,1.0,2.0
0.26754227,1.0,2.0
1.5676177,1.0,1.0
1.7634517,1.0,1.0
0.53583425,1.0,2.0
1.62066,1.0,2.0
2.2077339,1.0,1.0
1.1071606,1.0,2.0
1.6662418,1.0,1.0
1.0815755,1.0,1.0
1.769267,1.0,1.0
1.6982963,1.0,1.0
2.918567,1.0,2.0
2.9166403,1.0,1.0
2.2987242,1.0,1.0
2.5776465,1.0,1.0
2.952736,1.0,1.0
2.8794205,1.0,2.0
